mean_1,standarddeviation_1,nanalyzed_1,mean_2,standarddeviation_2,nanalyzed_2,studyid,armno,tt1,tt2,AltIDs,Year,MatchwithFDA,MatchwithCTgov,MatchwithPublication,md,semd,design,n,source
-5.1,3.4,20,-3.3,2.4,20,2627,2,12,4,1112:internal,2006,0,0,,-1.799999952,0.930591226,12vs4,40,0
-4.400000095,3.1,36,-5.800000191,2.700000048,36,2635,2,7,6,8009:internal,1988,0,0,,1.400000095,0.68516016,7vs6,72,0
-7.900000095,3.299999952,265,-6.400000095,3.5,263,2669,2,11,7,8018:internal,2008,0,0,,-1.5,0.296095073,11vs7,528,0
-7.1,3.3,187,-5.2,3.5,188,2671,2,12,3,2922:internal,2002,0,0,,-1.899999976,0.35127607,12vs3,375,0
15.80000019,1.899999976,20,17.60000038,2.5,20,2681,2,7,4,4632:internal,1999,0,0,,-1.800000191,0.702139556,7vs4,40,0
-4.4,3.278719262,43,-4.6,2.653299832,44,2687,2,12,3,8517:internal,2002,0,0,,0.200000003,0.640312433,12vs3,87,0
-5.2,2.50998008,70,-5.4,2.632489316,77,2705,2,15,7,4597:internal,1993,0,0,,0.200000003,0.424264073,15vs7,147,0
16.39999962,2.765862942,85,17.29999924,2.649528027,78,2709,2,12,7,124:internal,1995,0,0,,-0.899999619,0.424264014,12vs7,163,0
-5,3.704051835,28,-2.700000048,2.645751311,28,2731,2,3,1,8563:internal,1999,0,0,,-2.299999952,0.860232532,3vs1,56,0
-6.5,3.7,61,-6.8,3.6,64,2733,2,12,3,1033:internal,2001,0,0,,0.300000012,0.653395891,12vs3,125,0
-5.7,5.8,24,-4.8,5.6,24,2735,2,9,7,4264:internal,2004,0,0,,-0.899999976,1.645701528,9vs7,48,0
-3.3,3.640054945,53,-6.7,3.605551275,52,2747,2,15,12,3924:internal,2001,0,0,,3.400000095,0.707106769,15vs12,105,0
-8.0333,3.1611,117,-5.8,3.9,35,2751,2,11,7,7819:internal,2008,0,0,,-2.233299971,0.721094906,11vs7,152,0
20.70000076,4.699999809,147,21.60000038,5.099999905,149,2777,2,12,7,7138:internal,2002,0,0,,-0.899999619,0.569943726,12vs7,296,0
-6.400000095,3.900000095,11,-7.099999905,3.5,14,2803,2,7,6,5184:internal,1988,0,0,,0.699999809,1.502573609,7vs6,25,0
-8.2,1.870828693,14,-7.6,2.711088342,15,2811,2,7,4,7539:internal,1986,0,0,,-0.600000024,0.860232532,7vs4,29,0
-8.5,3.3,109,-5.6,2.6,104,2819,2,12,10,2940:internal,2000,0,0,,-2.900000095,0.406088978,12vs10,213,0
16.10000038,1.899999976,9,16,1.5,9,2827,2,13,12,4661:internal,2003,0,0,,0.100000381,0.806914568,13vs12,18,0
16.80999947,1.320000052,20,17.77000046,1.470000029,18,2846,2,12,3,1769:internal,2003,0,0,,-0.960000992,0.455159336,12vs3,38,0
14.13000011,1.129999995,19,16.12999916,1.360000014,19,2897,2,11,7,4186:internal,2004,0,0,,-1.999999046,0.405650884,11vs7,38,0
13.5,3.099999905,30,16.60000038,2.400000095,30,2905,2,11,7,2512:internal,2007,0,0,,-3.100000381,0.715774655,11vs7,60,0
17.10000038,3.799999952,46,16.89999962,2.099999905,36,2927,2,13,11,99:internal,2008,0,0,,0.200000763,0.660615623,13vs11,82,0
16.79999924,2.299999952,76,18.79999924,2.400000095,78,2947,2,12,7,2687:internal,1996,0,0,,-2,0.378749818,12vs7,154,0
16.89999962,2.799999952,175,17,2.700000048,68,3115,2,12,7,126:pubmed,2000,0,0,,-0.100000381,0.389879316,12vs7,243,0
-0.2,1.7,70,0.3,2.2,73,38736,2,12,7,2014_10755:internal,2013,0,0,,-0.5,0.328004688,12vs7,143,0
18.37,2.543,38,18.24,4.161,34,38740,2,13,11,2014_13379:internal,2010,0,0,,0.129999995,0.824265242,13vs11,72,0
-1.4,2.5,132,-2.1,2.4,128,38741,2,13,11,2014_12452:internal,2010,0,0,,0.699999988,0.303888947,13vs11,260,0
-1.6,2.57,104,-3,2.57,104,38743,2,12,11,2014_10284:internal,2009,0,0,,1.399999976,0.356394887,12vs11,208,0
-1,2.1,53,-1,2.84,56,38777,2,13,11,2014_10612:internal,2013,0,0,,0,0.476692885,13vs11,109,0
-9.7,3.3,18,-8.8,4.3,18,38784,2,14,12,2014_16087:internal,2010,0,0,,-0.899999976,1.277584553,14vs12,36,0
-4.7,2.1,93,-4,2,103,38789,2,7,3,2014_9475_1:internal,2012,0,0,,-0.699999988,0.29369083,7vs3,196,0
-1,2.6,147,3.6,3.9,71,38791,2,11,1,2014_10603:internal,2010,0,0,,-4.599999905,0.510109544,11vs1,218,0
0.06,2.68,67,0.19,3.11,61,38794,2,7,6,2014_9764:internal,1992,0,0,,-0.129999995,0.515518188,7vs6,128,0
13.25,4.43,50,15.53,4.37,46,38796,2,9,1,2014_14050:internal,2011,0,0,,-2.279999971,0.898692369,9vs1,96,0
-10.2,3.1,30,-9.5,3.69,60,38798,2,13,12,2014_16827:internal,2011,0,0,,-0.699999988,0.739775896,13vs12,90,0
16.5,2.51,30,17.02,3.02,34,38799,2,13,7,2014_16829:internal,2009,0,0,,-0.519999981,0.691556513,13vs7,64,0
19.3,3.4,134,20.9,3.5,131,41745,2,12,7,2014_12005:internal,2010,0,0,,-1.600000024,0.424004853,12vs7,265,0
19.39999962,2.900000095,67,21,3.099999905,70,4792,2,7,4,4920:internal,1989,0,0,,-1.600000381,0.512648106,7vs4,137,0
19.1,1.9,25,19.6,2.4,25,4795,2,15,1,4924:internal,2004,0,0,,-0.5,0.612209141,15vs1,50,0
18,1.700000048,45,18,1.799999952,45,4797,2,7,6,4913:internal,1997,0,0,,0,0.369082958,7vs6,90,0
19.39999962,3.400000095,111,19.29999924,3.099999905,107,4799,2,10,7,1999:internal,1994,0,0,,0.100000381,0.440405756,10vs7,218,0
-10.28,2.97,15,-3.3,1.1,2,4865,2,6,1,369:internal,1985,0,0,,-6.980000019,1.092272878,6vs1,17,0
-5.199999809,4.699999809,16,-5.739999771,4.46999979,29,5058,2,7,6,3893:internal,1985,0,0,,0.539999962,1.438617826,7vs6,45,0
-6.039999962,3.799999952,13,-4.789999962,1.470000029,12,5060,2,7,6,1242:internal,1988,0,0,,-1.25,1.136153221,7vs6,25,0
16.3,2.4,31,16.9,2.9,36,119174,3,13,12,,2010,0,0,,-0.600000024,0.647624552,13vs12,67,0
16.3,2.4,31,15.6,3.9,32,119174,3,13,11,,2010,0,0,,0.699999988,0.813092232,13vs11,63,0
16.9,2.9,36,15.6,3.9,32,119174,3,12,11,,2010,0,0,,1.299999952,0.841975987,12vs11,68,0
-7.800000191,3.700000048,17,-7.099999905,3.799999952,14,2433,3,7,3,8441:internal,2009,0,0,,-0.700000286,1.355257392,7vs3,31,0
-8.300000191,3.599999905,19,-7.099999905,3.799999952,14,2433,3,13,3,8441:internal,2009,0,0,,-1.200000286,1.309020162,13vs3,33,0
-8.300000191,3.599999905,19,-7.800000191,3.700000048,17,2433,3,13,7,8441:internal,2009,0,0,,-0.5,1.219589829,13vs7,36,0
18.89999962,1.799999952,15,19.89999962,1.399999976,16,2603,3,13,11,5320:internal,2008,0,0,,-1,0.581807494,13vs11,31,0
