"MD1","LB1","UB1","MD2","LB2","UB2","SE1","Z1","SE2","Z2","SIG1","SIG2"
-2.84,-4.61,-1.07,-2.86,-3.86,-1.86,0.903061224489796,-3.14485875706215,0.510204081632653,-5.6056,1,1
-3.53,-5.3,-1.77,-3.58,-4.59,-2.56,0.900510204081633,-3.92,0.517857142857143,-6.91310344827586,1,1
-0.12,-0.85,0.62,-0.23,-0.73,0.27,0.375,-0.32,0.255102040816327,-0.9016,0,0
-0.32,-1.5,0.85,-0.71,-1.63,0.21,0.599489795918367,-0.533787234042553,0.469387755102041,-1.51260869565217,0,0
-0.38,-1.1,0.35,-0.48,-1.16,0.19,0.369897959183674,-1.02731034482759,0.344387755102041,-1.39377777777778,0,0
-0.85,-1.72,0.01,-0.96,-1.63,-0.29,0.441326530612245,-1.92601156069364,0.341836734693878,-2.80835820895522,0,1
-1.23,-2.34,-0.13,-1.34,-2.25,-0.43,0.563775510204082,-2.18171945701357,0.464285714285714,-2.88615384615385,1,1
-1.5,-2.09,-0.92,-1.61,-2.05,-1.16,0.298469387755102,-5.02564102564103,0.227040816326531,-7.09123595505618,1,1
-1.79,-2.82,-0.76,-1.87,-2.89,-0.86,0.525510204081633,-3.40621359223301,0.517857142857143,-3.61103448275862,1,1
-2.32,-3.12,-1.53,-2.43,-3.36,-1.51,0.405612244897959,-5.71974842767295,0.471938775510204,-5.14897297297297,1,1
-2.41,-3.07,-1.75,-2.53,-3.07,-2,0.336734693877551,-7.1569696969697,0.272959183673469,-9.26878504672897,1,1
-2.65,-3.4,-1.89,-2.73,-3.27,-2.2,0.385204081632653,-6.8794701986755,0.272959183673469,-10.0014953271028,1,1
-3.34,-4.09,-2.59,-3.45,-4.02,-2.89,0.38265306122449,-8.72853333333333,0.288265306122449,-11.9681415929204,1,1
-0.21,-1.41,0.99,-0.48,-1.41,0.44,0.612244897959184,-0.343,0.471938775510204,-1.01708108108108,0,0
-0.26,-0.99,0.46,-0.26,-0.92,0.41,0.369897959183673,-0.702896551724138,0.339285714285714,-0.766315789473684,0,0
-0.74,-1.52,0.04,-0.73,-1.3,-0.16,0.397959183673469,-1.85948717948718,0.290816326530612,-2.51017543859649,0,1
-1.12,-2.23,-0.01,-1.11,-2.02,-0.21,0.566326530612245,-1.97765765765766,0.461734693877551,-2.40397790055249,1,1
-1.39,-1.98,-0.8,-1.38,-1.82,-0.94,0.301020408163265,-4.61762711864407,0.224489795918367,-6.14727272727273,1,1
-1.68,-2.71,-0.64,-1.65,-2.65,-0.64,0.528061224489796,-3.18144927536232,0.512755102040816,-3.21791044776119,1,1
-2.21,-3.03,-1.38,-2.2,-3.15,-1.26,0.420918367346939,-5.25042424242424,0.482142857142857,-4.56296296296296,1,1
-2.29,-2.95,-1.63,-2.3,-2.81,-1.79,0.336734693877551,-6.80060606060606,0.260204081632653,-8.83921568627451,1,1
-2.53,-3.28,-1.78,-2.5,-3.02,-1.99,0.38265306122449,-6.61173333333333,0.262755102040816,-9.51456310679612,1,1
-3.22,-3.97,-2.48,-3.22,-3.77,-2.67,0.380102040816327,-8.47140939597315,0.280612244897959,-11.4749090909091,1,1
-0.06,-1.23,1.12,0.22,-0.79,1.24,0.599489795918367,-0.100085106382979,0.517857142857143,0.424827586206897,0,0
-0.53,-1.8,0.73,-0.25,-1.26,0.75,0.645408163265306,-0.821185770750988,0.512755102040816,-0.487562189054726,0,0
-0.91,-2.33,0.51,-0.64,-1.79,0.51,0.724489795918367,-1.25605633802817,0.586734693877551,-1.09078260869565,0,0
-1.18,-2.24,-0.12,-0.9,-1.75,-0.06,0.540816326530612,-2.18188679245283,0.431122448979592,-2.08757396449704,1,1
-1.47,-2.83,-0.11,-1.16,-2.4,0.08,0.693877551020408,-2.11852941176471,0.63265306122449,-1.83354838709677,1,0
-2,-3.22,-0.78,-1.72,-2.9,-0.54,0.622448979591837,-3.21311475409836,0.602040816326531,-2.85694915254237,1,1
